# English confusion sets, mostly homophones
# Original source: After the Deadline's data/rules/homophonedb.txt
# URL: http://openatd.wordpress.com/ or https://openatd.svn.wordpress.org/atd-server/data/rules/homophonedb.txt
# License: GNU Lesser General Public License as published by the Free Software Foundation; either
#          version 2.1 of the License, or (at your option) any later version.
#
# Line format:
# <word1>|<description1>; <word2>|<description2>
#   <word1> and <word2> are words that can easily be confused
#   <description> will be used in the error message to explain the word (optional)
#   <factor> is the factor of how much more the other word must be more
#            probable so the text is considered potentially incorrect.
#            Use a higher value for better precision but lower recall.
#   Precision (p) and recall (r) values in the comments come from ConfusionRuleEvaluator
#     and are based on Wikipedia, Tatoeba, and Enron data, usually with 1000 random 
#     sentences (if that many sentence are available for that pair). The number after recall
#     is the number of sentences used for evaluation.
# Order is relevant for ambiguous cases like 'know' ('no' or 'now') where the match
# is used whose pair comes first in this file.
able; bale
idol|someone who is adored;idyl|a short poem
idols|someone who is adored; idyls|a short poem
imply|suggest indirectly; infer|draw a conclusion
improved|made better;improvised|performed without preparation
incites|moves, motivates;insights|clear perception of a situation
inc|short for 'incorporated';ink|a liquid used for printing or writing
in; inn|a hostel
inns|hotels;ins|short for 'inch'
is; us
juggler|a performer who juggles objects;jugular|jugular vein
just; juts
kind; king
kinds; kings
knead|massage;need|require
kneads|massage; needs|require
knew|past of 'know';new|having just been made
knight|person of noble birth trained to arms;night|opposite of day
knows|third person singular of 'know'; noes|plural of 'no'
knows|third person singular of 'know'; nose|the organ of smell
know|to be aware of; known|past participle of 'know'
know|to be aware of; no|negation
know|to be aware of; now|in this moment
lacks|third person of 'lack';lax|lacking in strictness
land|ground; lend|give temporarily
lands|plural of 'land'; lends|3rd person of 'lend'
laps|upper side of the thighs of a seated person;lapse|oversight
lead|take somebody somewhere;led|past of 'lead'
lean|thin;lien|a form of security interest
leans|3rd person of 'lean'; liens|a form of security interest
leased|past of 'lease';least|to the lowest degree
leave; live
leaved|having leaves; left|past of 'leave'
leaves; lives
lees; less
lends|past of 'lend';lens|optical device
lessen|decrease;lesson|unit of instruction
liable|subject to legal action;libel|malicious publication
liar|person not telling the truth;lyre|instrument
lichen|skin diseases;liken|describe as similar
lichens|skin diseases; likens|describe as similar (3rd person)
lies; lines
lieu|position as in 'in lieu of';loo|a toilet
life|noun;live|verb, adjective, or adverb
limb|appendage of a human or animal;limn|trace the shape of
limbs|appendages of a human or animal;limns|traces the shape of
links|connection between things;lynx|wildcat
literal|actual, real;littoral|the region of the shore
literals|misprints; littorals|the regions of the shore
live; love
loan|temporary provision of money;lone|alone
loch|Scottish word for a lake;lock|e.g. door lock
locks|plural of noun or third person of verb 'lock';lox|brined salmon
lode|deposit of valuable ore;lowed|mooed
lo;low|less than normal in amount
loose|not tight; lose|opposite of win
loos|plural of 'loo' (toilet);lose|cease to have
loot|plunder;lute|musical instrument
lumbar|abdominal segment of the torso (adj.);lumber|processed wood
mach|the Mach number;mock|imitate
made|past of 'make';maid|housemaid
mail|postal service;male|gender
maize|cereal;maze|labyrinth
manners|style, mode; manors|mansion of a wealthy person
manner|style, mode;manor|mansion of a wealthy person
man|singular; men|plural
marital|relating to the state of marriage;martial|soldierlike
marry|get married;merry|jolly, festive
massed|joined together into a mass;mast|vertical spar for sails
matrices|plural; matrix|singular
median|median value;medium|a means for storing or communicating
memoranda|plural; memorandum|singular
mewl|cry weakly;mule|animal
mice|plural; mouse|singular
mice|plural of 'mouse'; nice|pleasant
might|modal verb, power; mite|tiny invertebrate animal
militate|have force or influence;mitigate|make less severe
militates|have force or influence; mitigates|make less severe
mince|soften, moderate;mints|plants
minces|food chopped into small bits; mints|plants
mind|brain;mined|past of 'mine'
minds|brain; mines|3rd person of 'mine'
minding|being bothered by;mining|extracting ores or coal etc from the earth
minuet|piece of music and dance; minute|60 seconds
minuets|pieces of music and dance; minutes|60 seconds
missed|past of 'miss';mist|fog
mist|thin fog; must|have to
mode|manner, modality; mowed|past of 'mow' (cut down)
mood|psychological state;mooed|past of 'moo' (the cow noise)
morale|principles of right and wrong;morel|edible mushrooms
moral|ethics, significance of a story;morale|psychological well-being
morales|psychological well-being; morals|ethics, significance of a story
morning|early time of the day;mourning|lamentation
morn|morning;mourn|feel sadness
most; mot
mow; now
mustard|an often spicy condiment;mustered|gathered together
nays|archaic form of no (plural);neighs|sounds made by a horse
near|close to; neat|clean or organized
new; news
nit; not
no|negation; now|at the present moment
none|not at all;nun|religious woman
no; on
not; note
not; nut
oases|plural; oasis|singular
oh|interjection to express surprise;owe|be obliged to pay
ohs|interjection (plural);owes|third person singular of 'owe'
on; one
oohs|utterings of 'ooh';ooze|slime, goo
or; ore
our; out
ours; outs
out; put
overdo|exaggerate;overdue|past due
overhead|operating cost;overheard|listen
own; won
paced|walked;paste|glue
packed|full;pact|written agreement
pail|bucket;pale|very light colored
pails|buckets;pales|turns pale
pairs|a set of two (plural);pares|pares down, strips the skin off
palate|roof of the mouth; palette|range of colours
pare|pare down, strip the skin off;pear|fruit
pares|pares down, strips the skin off;pears|fruit
passed|paste tense of 'to pass'; past|past times
patience|tolerance of delay;patients|person who gets medical care
peace|absence of war; piece|a portion of a natural object
peaked|reached the highest point;peeked|took a brief look
peak|extremum, summit, top; peek|a secret look
pealed|sounded loudly;peeled|stripped the skin off
peal|sound;peel|skin
peals|sound; peels|strip the skin off
pea|seed of a pea plant;pee|urine
peeked|took a brief look;piqued|offended
peek|take a brief look;pique|offend, cloth weaving style
peeks|take a brief look; piques|offend, cloth weaving style
peers|persons in a group;piers|wharfs, docks
picnic|outdoor social gathering;pyknic|having a squat and fleshy build
pieced|joined the pieces of;piste|a ski run
placed|past of verb 'place'; places|noun, third person verb
plains|flat areas;planes|airplanes
plain|simple;plane|airplane
plan; plant
plans; plants
pleaded|appealed;pleated|pleated into a ruffle
pleas|noun: requests;please|adverb used in polite request
pointed; pointer
pole|a long (usually round) rod;poll|opinion poll
poled|propel with a pole;polled|vote in an election or survey
pooling;pulling|gerund of 'pull'
pools|swimming pools;pulls
pool|swimming pool;pull|move something toward
populace|the public;populous|densely populated
pores|tiny holes;pours|causes to run
pore|tiny hole;pour|cause to run
portable|easily transportable;potable|beverage
portables|small typewriter; potables|beverage
port;post
portrait|noun;portray|verb
portraits|noun;portrays|verb
praised|expressed approval of;prayed|addressed an object of worship
prayed|addressed an object of worship;preyed|hunted
prays|addresses an object of worship;preys|hunts
pray|say a prayer; prey|animal hunted for food
precede|come before;proceed|continue
preceded|came before;proceeded|continued
precedence|priority;precedents|example used to justify similar occurrences
precedes|comes before;proceeds|continues
preceding|coming before;proceeding|continuing
presence|state of being present;presents|gifts
prince|son of a sovereign;prints|printed publications
principal|school principal; principle|fundamental rule or belief
principals|school principals;principles|fundamental rules or beliefs
profit|net income;prophet|someone who speaks by divine inspiration
profits|net income;prophets|persons who speak by divine inspiration
proof|often noun, also 'proofread'; prove|verb: show, testify, demonstrate
pros|an argument in favor of a proposal;prose|ordinary writing
prostate|prostate gland (noun); prostrate|bow down (verb)
psi|Greek letter, unit of pressure;sigh|utterance
quiet|free of noise; quite|completely, to a degree
quit|stop, give up; quite|completely, to a degree
racking|stretching to the limits;wracking|breaking forcefully
raise|increase the level or amount;rays|beam (of light)
rampant|violent;rampart|wall
rap|rap music;wrap|a cover for protection
raps|rap music;wraps|covers for protection
rapt|strike sharply;wrapped|wrapped up, enclosed
ray|beam;re
reach|arrive at; rich|wealthy
reaches|arrive at; riches|wealth
read|something that is read;red|a color
reads|thing that are read;reeds|tall woody perennial grasses
real|occurring in reality;reel|a roll of photographic film
recede|retreat, pull back;reseed|seed again
reeked|smelled;wreaked|caused to happen
reek|stink, stench;wreak|cause to happen
rested|not moving (past);wrested|obtain by seizing forcibly
review|critique;revue|a variety show
rigger|someone who rigs ships;rigor|hardship, validity
riggers|someone who rigs ships; rigors|hardship, validity
right|correct;write|communicate or express by writing
right|opposite of 'left'; rite|established ceremony or practice
rights|laws;writes|expresses by writing
ringing|sound of a bell ringing;wringing|twisting out of shape
rite|religious rite;wright|someone who makes or repairs something
rites|religious rites;writes|expresses by writing
role|function, character;roll|rotary motion
roles|functions, characters;rolls|rotary motion
roomie|roommate (noun);roomy|roommate (noun) or spacious (adj.)
rooted|originated;routed|sent to destinations
root|underground organ of a plant;route|an established line of travel
rose|past of 'rise', a plant;rows|arrangement of thing side by side
rote|memorization by repetition;wrote|past of 'write'
rot|state of decay;wrought|worked
roux|mixture of fat and flour;rue|plant
rude|ill-mannered;rued|feel sorry for
sacks|paper bags;sax|saxophone
